First Name,Last Name,Title,Company,Website,Person Linkedin Url,segment
Waleed,Kareem,CEO,thetopspotonline.com,thetopspotonline.com,https://linkedin.com/in/waleed-kareem,INFLUENCER_PLATFORMS
Quentin,Bessiere,CEO and Co-founder,passpass.com,passpass.com,https://linkedin.com/in/quentin-bessiere-06b43a155,INFLUENCER_PLATFORMS
Jay,Cox,"Founder, CTO",passpass.com,passpass.com,https://linkedin.com/in/jaylcox,INFLUENCER_PLATFORMS
Eugene,Shablygin,CEO,passpass.com,passpass.com,https://linkedin.com/in/shablygin,INFLUENCER_PLATFORMS
Fareed,Iqbal,CEO/Founder,sosurge.com,sosurge.com,https://linkedin.com/in/fareed-iqbal-aa31957b,INFLUENCER_PLATFORMS
Paolo,Asoni,Chief Executive Officer,sosurge.com,sosurge.com,https://linkedin.com/in/paolo-asoni-2a16491,INFLUENCER_PLATFORMS
Aaron,Kissel,"CEO, Assemble",ssemble.com,ssemble.com,https://linkedin.com/in/aaronkissel,INFLUENCER_PLATFORMS
Duygu,Ozgun,Co-Founder & CEO of Denebunu/Samplico,denebunu.com,denebunu.com,https://linkedin.com/in/duyguakbudak,INFLUENCER_PLATFORMS
Baris,Yesilcicek,CTO & Co-founder,denebunu.com,denebunu.com,https://linkedin.com/in/barisyesilcicek,INFLUENCER_PLATFORMS
Anchala,T.,Founder & CEO - Multiply.onl • The future is great and we are in it.,multiply.onl,multiply.onl,https://linkedin.com/in/anchalatomar,INFLUENCER_PLATFORMS
Mike,Curtis,CTO & Co-founder,multiply.onl,multiply.onl,https://linkedin.com/in/mike-curtis-05147191,INFLUENCER_PLATFORMS
Marcin,Zaborowski,CEO & Co-Founder,sellencer.com,sellencer.com,https://linkedin.com/in/marcin-zaborowski-b97200173,INFLUENCER_PLATFORMS
Purvesh,Mahajan,Co-Founder And CEO SellioIQ,sellencer.com,sellencer.com,https://linkedin.com/in/purvesh-mahajan-a16b321a4,INFLUENCER_PLATFORMS
James,Weaver,President,bumpconnect,bumpconnect.xyz,https://linkedin.com/in/james-weaver-737a1a7b,INFLUENCER_PLATFORMS
Maren,Schulze,CEO / Board Member / Qualitative Market Research & Consumer Insights,Konsumgöttinnen,konsumgoettinnen.de,https://linkedin.com/in/maren-schulze-0b2aa15,INFLUENCER_PLATFORMS
Jeff,Glass,"Vice President, Integrated Solutions Group",loyalift.com,loyalift.com,https://linkedin.com/in/jeff-glass-58694524,INFLUENCER_PLATFORMS
Brent,Yohn,CEO Tracked Lifts,loyalift.com,loyalift.com,https://linkedin.com/in/brent-yohn-29540320,INFLUENCER_PLATFORMS
Kevin,Kaganjo,Founder & CEO,Kizitos B.V.,kizitos.com,https://linkedin.com/in/kevin-kaganjo-496b3491,INFLUENCER_PLATFORMS
Tjitte,de Visscher,Owner,Kizitos B.V.,kizitos.com,https://linkedin.com/in/tjitte-de-visscher-0b9a5236,INFLUENCER_PLATFORMS
Ajinkya,Haldankar,Co-Founder & Producer,bookyourcreator.com,bookyourcreator.com,https://linkedin.com/in/ajinkya-haldankar-9026b7163,INFLUENCER_PLATFORMS
Vanessa,Franz ⭐,CEO,bookyourcreator.com,bookyourcreator.com,https://linkedin.com/in/vanessa-privy,INFLUENCER_PLATFORMS
Gary,Watkins,Founder,taap.it,taap.it,https://linkedin.com/in/garyattaap,INFLUENCER_PLATFORMS
Randy,Cotton,Website Owner,linkinprofile.com,linkinprofile.com,https://linkedin.com/in/randy-cotton-000407161,INFLUENCER_PLATFORMS
Hirra,Daanial,CEO,linkinprofile.com,linkinprofile.com,https://linkedin.com/in/linkedinleadgeneration,INFLUENCER_PLATFORMS
Thomas,Le Morvan,CEO @Linkt,linkinprofile.com,linkinprofile.com,https://linkedin.com/in/thomas-le-morvan,INFLUENCER_PLATFORMS
Alex,Casciana,Imprenditore / CEO Vocix.it,speekly.it,speekly.it,https://linkedin.com/in/alex-casciana-30145273,INFLUENCER_PLATFORMS
